id,airline_sentiment,airline_sentiment_confidence,negative_reason,airline,name,text,tweet_created,tweet_location
170,negative,1,Customer Service Issue,American,denismishin,"@AmericanAir submitted a case to AA customer relations two weeks ago, no word ever since! whats the point of even having CR?",2/24/2015 11:06,"Bellevue, WA"
171,positive,1,,American,Mtts28,@AmericanAir This is exactly why ill be flying AA from @Dulles_Airport to Dallas! Only airline I trust!,2/24/2015 11:08,Virginia
172,negative,1,Cancelled Flight,American,LancasterPattie,"@AmericanAir You are jumping the gun and Cancelled Flighting flights that could've made it before the snow. Now, more Cancelled Flightlations. It's ridiculous.",2/24/2015 11:15,
173,negative,0.6703,Customer Service Issue,American,skgiffard,.@AmericanAir can you connect me to a person without having to wait 2+ hours on hold? I still haven't been able to resolve the problem.,2/24/2015 11:17,"Boston, MA"
174,negative,1,Late Flight,American,JoBarredaV,@AmericanAir r u serious?? 304min #delay with #AmericanAirlines #AA2444 #ohio - #dallas missed my connecting flight http://t.co/DNMsblzumr,2/24/2015 11:17,Mexico City
175,negative,1,Bad Flight,American,PBSamson,@AmericanAir thx for responding. I cant watch 2 mins of this film w/out it cutting in and out 4 prolonged prds of time. beyond frustrating,2/24/2015 11:19,"Los Angeles, CA"
176,neutral,1,,American,FinEdChat,@AmericanAir I did,2/24/2015 11:19,"Cincinnati, Ohio"
177,positive,0.7047,,American,JohnMHaaland,@AmericanAir thanks,2/24/2015 11:20,New York Tri-State
178,neutral,1,,American,trentgillaspie,.@AmericanAir just disappointed with the Flight Booking Problems process and addâ€™l fees to sit together on a more crowded flight. Not impressed so far :-/.,2/24/2015 11:24,"Austin, but often Denver"
179,negative,1,Flight Booking Problems,American,coquichick,@AmericanAir I purchased Main Cabin XT for f-1571AUS. Flight was Cancelled Flightled and I was rescheduled on 1600 with regular seats. Credit?,2/24/2015 11:26,Puerto Rico
180,neutral,0.6529,,American,AesaGaming,@AmericanAir Do you have any sort of live chat feature? We're in the UK right now and that call would cost us alot. :(,2/24/2015 11:29,
181,negative,1,Late Flight,American,ImBillNichols,@AmericanAir your planes made me miss 2 connections in 2 days. Thanks for nothing,2/24/2015 11:29,
182,negative,1,Bad Flight,American,drhavoc,@americanair thanks for no fresh food on my cross country flight and for making my connection so close No time to eat. TPA-DFW-LAX,2/24/2015 11:31,Tampa Bay
183,neutral,1,,American,Chandrafaythe,"@AmericanAir my flight got Cancelled Flightled from GRK to DFW, then to LEX for tomorrow and I need it rebooked.",2/24/2015 11:31,
184,neutral,0.3474,,American,penyu1818,"@AmericanAir DM the locator code, thanks.",2/24/2015 11:32,
185,positive,1,,American,jamucsb,@AmericanAir thank you!,2/24/2015 11:32,"Los Angeles, CA"
186,negative,1,Customer Service Issue,American,TheOnlyJasonS,"@AmericanAir I sure hope you all can fix @USAirways. Good luck, their service sucks. #nexttimeiwillflysouthwest",2/24/2015 11:32,
187,negative,1,Flight Booking Problems,American,HollyKinnamon,@AmericanAir 1hr 46 min. Cost of flight change $788. Was $188 2hrs ago b/f drop call. Cancelled Flighted flight. Asked 4 refund.,2/24/2015 11:36,"Washington, DC"
188,negative,1,Flight Booking Problems,American,CathiKingWarren,@AmericanAir it's not just frustrating--it was PAID for! how do we get a refund?,2/24/2015 11:36,"San Antonio, Republic of Texas"
189,neutral,0.6742,,American,gjeaviation,@AmericanAir 767 seconds from touchdown at Madrid airport in April 2013 #AvGeek http://t.co/1yWXRfn0Gr,2/24/2015 11:37,"Worcester, UK"
190,negative,0.6449,longlines,American,TheTPVshow,"@AmericanAir I slept in the miami airport due to mechanical issues and was given 10,000 bonus miles to try and make it right. #slapintheface",2/24/2015 11:37,MN
191,neutral,0.6767,,American,sammy575,"@AmericanAir is the new 9:45 time confirmed or it may get Cancelled Flightled? Traveling with kids, need to be certain. Thx",2/24/2015 11:37,New York
192,negative,1,Flight Attendant Complaints,American,TheTPVshow,"@AmericanAir aa employees were rude and unwilling to help. 10,000 miles is a rotten cherry on top of a dog shit Sunday. #nocareforcustomers",2/24/2015 11:38,MN
193,negative,1,Flight Booking Problems,American,barbararwill,"@AmericanAir no thanks.  As I said, being denied miles that expired one week ago was the last drop for me; plan to avoid AA as possible.",2/24/2015 11:40,Mexico City
194,negative,0.667,Customer Service Issue,American,Bossman1908,"@AmericanAir sorry so Late Flight, responded to your DM.",2/24/2015 11:40,Liverpool
195,positive,0.6604,,American,bharris77,"@AmericanAir Believe me, I understand. Flight #2955. Was originally booked for Sunday. Flight was Cancelled Flighted and rescheduled for today.",2/24/2015 11:40,"Frisco, Texas"
196,negative,0.6547,Late Flight,American,LauraMolito,"@AmericanAir stranded for 24 hours in MIA, Patrick casimir has been the ONLY AA staff to apologize for the great inconvenience #unreal",2/24/2015 11:41,"New York, NY"
197,neutral,0.6667,,American,LancasterPattie,@AmericanAir we've already made other arrangements ourselves.,2/24/2015 11:43,
198,negative,0.6316,Bad Flight,American,ELLLORRAC,@AmericanAir thanks for getting back to me. But I will find other airlines in the future.,2/24/2015 11:43,
199,negative,0.6846,Flight Booking Problems,American,SweeLoTmac,@AmericanAir why would I pay $200 to reactivate my points that are only useful for certain flights that aren't even worth $200?,2/24/2015 11:43,
200,negative,1,Customer Service Issue,American,SweeLoTmac,@AmericanAir why would I even consider continuing your point program when I received no perks or continued bad customer service? #senseless,2/24/2015 11:44,
